1;b.t1-1-1;
1;b.t2-1-1;
1;b.t3-1-1;
1;b.t4-1-1;
1;b.t5-1-1;
1;b.b1-2-1;
1;b.b2-2-1;
1;b.b3-2-1;
1;b.t1-2-1;
1;b.b2-3-1;
1;b.b2-3-2;
1;b.t1-3-1;
1;b.l1-1-1;2
2;b.l1-1-1;3
3;b.l1-1-1;4
1;b.l2-1-1;6
2;b.l2-1-1;7
3;b.l2-1-1;8
1;b.m1-2-1;58
2;b.m1-2-1;59
3;b.m1-2-1;60
4;b.m1-2-1;61
1;b.m2-2-1;63
2;b.m2-2-1;64
3;b.m2-2-1;65
4;b.m2-2-1;66
1;b.m3-2-1;68
2;b.m3-2-1;69
3;b.m3-2-1;70
1;b.m4-2-1;72
2;b.m4-2-1;73
3;b.m4-2-1;74
1;b.m5-2-1;76
2;b.m5-2-1;77
1;b.m6-2-1;79
2;b.m6-2-1;80
3;b.m6-2-1;81
4;b.m6-2-1;82
5;b.m6-2-1;83
1;b.m7-2-1;85
2;b.m7-2-1;86
3;b.m7-2-1;87
4;b.m7-2-1;88
